17	[-0.1229048085804936, -0.005584650012314906, -0.1463923601007408, -0.05154478470370212, -0.07727690975065644, 0.01931046747645824, 0.7945880898235814, -0.1253117928703097, -0.008237053674680611, -0.058202187177295014, 0.026249978636856987, 0.05203424356824758, -0.01781608832961138, -0.02338835575392382, 0.005918980533479105, 0.07939671902307173, -0.008726288281118866, -0.015035332144265143, 0.0035647170526702738, 0.08341359761503105, -0.08323248611877765, 0.03992643565690334, -0.06003056154275676, -0.03321189265748005, 0.08554673472504312, 0.012335473219433346, -0.03757395123568245, 0.03022219056262107, 0.034578725791735564, -0.05859380042581274, -0.05096077116137114, 0.11495711492376026, -0.3013891361791581, -0.05997328342632329, 0.2013951947776979, 0.052402906846737665, 0.06391087072634809, 0.10143662299120751, 0.13648694705048314, -0.10447478676682091, -0.06437148202853527, -0.06575926655047334, 0.04270488911970632, 0.0014315870828666096, -0.06923333357473684, 0.04374761563958478, -0.054948377128441334, 0.020177114686250205, 0.18866375495631355, -0.06990974020830895]
18	[-0.8428616535102641, -0.026979492114200365, -0.14390267585048033, -0.12707879851374934, 0.040067382955306034, -0.02199586378640873, -0.027941612807266356, 0.13897833873592075, -0.052258540629254474, 0.012007712045130082, 0.11925004431848527, 0.07358270507752906, 0.004041354655813022, 0.03701640832571327, 0.12326707020771101, 0.03591794265597043, -0.018016612106724613, 0.05983641825829188, 0.14170779900229608, 0.061147735258184795, 0.07579693854665835, 0.10447017760724711, -0.009597378879083318, -0.15566331564320351, 0.09692371345661817, -0.10959854641019674, -0.03426212025547437, 0.03216119871760882, -0.1106996362009423, -0.07833945910237113, -0.09577152725058333, 0.05310716285302096, -0.03646655082837142, -0.05518483380025404, 0.041774538394797264, -0.02001902710870742, 0.06618296276556193, 0.0886461342358372, -0.08774826413079784, -0.06743721996712039, 0.08651302307176954, -0.03154755830667049, 0.030201879920140826, 0.08867542576623134, -0.03777485823458348, 0.076176240467784, -0.013380284162256263, -0.0033540881760985106, -0.0444456980009374, 0.09523356794017403]
19	[0.033048192559286, -0.13885506217580365, -0.014237382084792478, 0.12521142334881047, 0.029180085672171844, -0.0058738037496484, -0.10064775781297271, -0.007823922749228836, 0.017696601866959198, -0.13997552703977004, 0.04857433509271, 0.09204552270273733, 0.019084275338240322, -0.055928256257722915, 0.1267658399300144, 0.0638471001699305, -0.07690348904482378, 0.07892283318035895, 0.005071235260894163, 0.16075365259522748, 0.026944917364070373, -0.034020387006392656, 0.18157421146264371, -0.058230558020455445, 0.04638237311452894, 0.06905409991445609, 0.8113488597471178, -0.20008743498368367, 0.1150110556674037, -0.014775295036388744, 0.038027898614445076, -0.11243893088637043, 0.05180992104770521, 0.007043221052785965, 0.047987059845825464, 0.043451674460500814, 0.02900346202895746, 0.06693160170906601, 0.06217644626328978, -0.09167863269736791, -0.065756793690203, -0.03301056772084173, -0.023818185108382798, 0.01680875233925827, -0.0024854537249341764, -0.05974569105163582, -0.03632749850536482, 0.06883083853038996, 0.0789167134678092, -0.20645060615852043]
20	[-0.4978393236257183, 0.02515310806605889, -0.08721664774261154, -0.00786900666310685, -0.08101479196214086, 0.04712807167924671, -0.006410804775180868, 0.1385925304632443, -0.046227690449549885, -0.0873489968886964, 0.12381384264007124, 0.013377342620055022, -0.07816931452658513, 0.11651540429018946, 0.0998288071255594, 0.08306765635776463, 0.03153077295999762, 0.08018564437395748, 0.04187949725049535, -0.08091145091312814, -0.051045876850453906, -0.11166322153584643, -0.06297271563597644, -0.03668225906821227, 0.10583514052541884, 0.06161864134846659, -0.06045059276773703, -0.10433689019352678, -0.13259664004535962, 0.05321294073877968, -0.023350653738053777, -0.07074653164377055, 0.03818562033239871, 0.10458161233366109, 0.6859678414217684, -0.0076501413347429634, -0.027778477662391044, -0.1397955852996382, 0.0363139811078559, -0.03065539890818014, 0.13758938389034145, 0.08920654189879317, -0.010527578614221855, 0.12890060654339067, -0.04760090285580457, 0.032881019115251216, 0.05847326985129412, 0.07117471979269097, -0.03399564937258594, -0.014133962524200338]
21	[-0.015199632803162916, -0.08089091753580163, 0.0034440249716729556, 0.008437989018884946, 0.019933344572951955, -0.08538885362676389, -0.10536067840931372, 0.09535055314371028, -0.04821237644391126, -0.04750444626771076, -0.006350953643591222, 0.01754158534948454, 0.09468051864486195, -0.0014436738675713543, 0.020030344103281642, 0.1116311924642716, -0.007011587318182064, 0.10957358284604209, -0.2352717262219215, 0.03395596103304955, -0.07286087492110656, -0.01853587575049266, -0.018976330186916406, -0.23245489209457315, 0.06135943912609202, -0.034963617174094914, 0.06865997715207404, -0.02459092793518882, -0.08832674606746913, 0.15777888218181024, 0.03939941854580973, -0.002847290408822538, -0.026279243926239534, 0.09723826935287991, 0.12107311301364823, 0.014085119485842946, -0.00631201560675153, -0.08573127761944489, -0.0868501603367202, -0.04288689653219451, 0.08197776399648045, -0.07443197172303216, 0.0027755564227920863, 0.0201856174872697, -0.05032351556365022, 0.13512794735247954, 0.034531046122283866, 0.011761451176049209, -0.06282807080873867, -0.8275329720585439]
22	[0.20115532317135518, -0.24869314189023276, -0.09900089915836717, 0.0005657505636727835, -0.057829710051240116, -0.038257799635266404, -0.002833927146244962, 0.05690389894301502, 0.040298456778894765, -0.0754858014579713, -0.022890020893994927, 0.025866542995491182, 0.17289711664353885, -0.05620398310564895, -0.0317815085432388, 0.04816036051403357, 0.00961951853060038, 0.09001494287971315, 0.025717845387805013, 0.06788156644767214, -0.014781607131848335, 0.05464900920234436, 0.017172920880813018, 0.04524591079656603, 0.09862898839705625, 0.030231424701194703, 0.10656867840825567, -0.010186853471175289, -0.03848040729866369, 0.5911542651143908, 0.0013396059982664296, -0.0246672732292239, 0.01130156567236515, 0.010304601910283718, 0.10387183306389991, -0.053954662507913635, -0.13388252953421217, 0.11082069541714706, 0.15135179746171973, -0.01769339084726724, -0.16150299359717124, 0.09917521835861813, -0.06422171026645374, -0.053300076234536906, -0.004311460524607376, -0.5645229869898776, 0.040588162874617126, -0.034235691144208165, -0.08326550936429623, -0.0597102407589535]
23	[0.05611863105309464, -0.15719142961539556, 0.07028571200819181, 0.043902430071076116, -0.015516468747133059, 0.07714749078625825, -0.02559075120369341, 0.06325175977176929, 0.0037446591611771407, -0.02951844792792999, -0.01696862528723111, 0.05531666232116762, 0.10498271534937721, -0.013942315761956418, 0.07202337624247455, 0.11294407794667219, -0.041331056859155064, 0.007807162092625814, 0.097022784926768, 0.09037044439155154, -0.09499373769323244, -0.012206098538077234, 0.14382642074719776, -0.12077631360126372, -0.0055879599127636155, -0.047770729406888646, -0.08892940987236833, 0.015064252480215846, 0.02481821781728945, -0.11333599128628392, 0.07157878186290116, 0.3132287461536588, -0.0023991163140693423, -0.02993521799924955, -0.01585045160594951, -0.03003941146637976, 0.04344892048134653, -0.01722672609247691, -0.05669741073483824, -0.4828441687684335, 0.00999915467216603, -0.02392452100858427, 0.02856920963365254, 0.11479848802618826, 0.08525278926535246, -0.025781726710727895, -0.058160005847434124, -0.06844507604705566, -0.6771055996718498, 0.018976986373453804]
24	[0.10292472265144577, -0.01954374785179141, -0.07991671825780455, 0.04807437780718488, 0.04688765924664147, -0.055966252653184556, -0.1051485417535664, -0.07782935592540977, -0.09526815140812055, -0.0330206232413923, -0.006669308005479715, 0.0400043429057292, -0.027869607122198124, -0.008532542713575134, 0.003079937138375174, 0.13756533023774223, -0.007794888573791077, 0.1863377700903706, 0.07086531757805986, 0.09131527160887465, -0.03923461495180644, 0.06399591173465735, -0.07121699159978276, -0.030970254328489717, -0.003341238613099945, 0.010252627933947692, -0.032069131053602436, -0.07100678740041623, 0.8890777342210314, 0.0874046276289478, 0.058584871800433085, -0.02133508009450876, -0.06780760774517168, -0.07319922676712035, 0.06050395459691536, 0.053156038749045544, -0.06649513725633721, -0.015875234157684482, -0.03282691357003324, 0.0774170669302315, 0.029074192935069916, 0.07408967502699343, -0.012651640416780968, 0.12227653012801937, 0.015346942269703404, -0.0004551323668642319, 0.03995565009120022, -0.04748888174788994, -0.012063238708462274, -0.06663610603850012]
25	[0.043888752352682116, -0.011026558498901821, -0.03476723564562724, 0.014585281487490762, 0.07110988073880534, 0.10794153812272023, 0.05061275634614516, -0.03479787374126066, -0.060117577445262534, 0.052532999263818, 0.02898830933339518, 0.05071545721750464, -0.011515834283406946, 0.051425179323806615, -0.8684105927331067, 0.20152738654440855, -0.11911444470981403, 0.058775832768131094, 0.00987000800502694, 0.1269691677090194, 0.10579114869082655, -0.030947375554678292, 0.044846590027281384, 0.014700031954673745, 0.002747126346094439, 0.015546241776746237, -0.12324847571936604, -0.036106645297241204, -0.058862943722497445, -0.023218274553766585, 0.07684247725050945, 0.028847624026716125, 0.14649638608272653, 0.005126850719780045, 0.1269884045056288, 0.05091037788684229, 0.015260751217052797, -0.056134184597596344, -0.09060707402816211, -0.04331230739176199, -0.1015199354241049, -0.08131068580544708, 0.0716422424166546, -0.014767084066865829, 0.029047085863886404, -0.07035495740302491, 0.043628156359693034, 0.05765886419050224, -0.05637779870616968, -0.053581612469863676]
26	[0.05712743431282101, 0.03538487002258282, 0.012648657065235557, -0.030481968410772987, 0.04389794297853456, -0.04855245852282482, -0.1146136346266269, -0.10523084881708537, -0.06762705568470044, -0.14510194768563023, 0.10845054283874744, -0.11087799257254148, 0.07706509961601225, 0.01702266921851163, -0.10320982278148753, 0.10424725517602393, 0.022200753234883616, 0.3488374484914932, -0.0272729640545687, 0.01922543423267626, -0.007484940687076163, 0.09917807547994124, -0.031323834276040394, -0.07579931753692475, 0.10276728445771136, 0.020499343341226883, -0.05314551209152936, -0.018185248834735712, -0.05782248782882048, 0.06093360750868472, 0.011896749104721839, 0.04723201534635912, -0.016071214061224727, -0.027492947269713786, -0.03694727498463033, -0.013822717119927342, -0.0005742068891008701, 0.03244271325389764, 0.1271530523426222, 0.0692712595990518, -0.007748005682180786, 0.7973485804004677, 0.1324413322049146, -0.10985513029868507, 0.051065599743991594, 0.0013426777012420304, 0.009100845361773215, -0.11037979821496409, 0.13709429086257907, -0.036011279525713605]
